ext1,ext2,ext3,ext4,ext5,ext6,ext7,ext8,ext9,ext10,est1,est2,est3,est4,est5,est6,est7,est8,est9,est10,agr1,agr2,agr3,agr4,agr5,agr6,agr7,agr8,agr9,agr10,csn1,csn2,csn3,csn4,csn5,csn6,csn7,csn8,csn9,csn10,opn1,opn2,opn3,opn4,opn5,opn6,opn7,opn8,opn9,opn10,degree_category,degree,happiness_level,gender,birth_date,birth_location_country,birth_location_country_clean,birth_location_province,birth_location_city
2,5,2,5,3,3,4,5,1,3,2,4,2,2,1,2,1,1,4,4,1,4,2,4,1,4,1,4,4,4,4,1,5,1,5,1,5,1,4,5,4,1,5,1,2,1,4,3,5,3,Artes,Diseño de imagen y sonido,2,M,1981/09/16,Argentina,Argentina,Rio Negro,General Roca
3,4,3,4,4,1,3,4,2,3,4,2,4,3,3,2,3,3,2,2,1,5,2,5,2,3,1,4,4,4,4,4,4,4,5,4,5,2,5,5,4,4,5,3,4,1,4,3,5,5,Ciencias Sociales,Periodismo deportivo,4,M,1999/01/19,Argentina,Argentina,Buenos Aires,San Isidro
5,3,5,2,5,1,3,1,5,1,4,2,3,2,2,4,2,2,1,2,1,5,1,5,2,5,1,3,5,5,5,1,4,2,3,2,4,2,4,5,5,1,5,1,5,2,4,2,5,5,Ciencias Sociales,comunicacion social,5,M,1998/12/20,argentina,Argentina,buenos aires,caba
3,4,3,4,3,2,4,2,2,4,3,3,4,2,2,2,4,3,2,3,4,4,2,4,2,3,2,4,4,3,3,3,4,2,4,3,5,3,4,3,4,2,4,2,3,2,3,3,2,3,Otro,Universidad de San Andres,3,M,2001/05/07,Argentina,Argentina,Buenos Aires,Buenos Aires
2,4,1,4,5,1,2,5,3,3,5,1,5,1,3,2,5,5,5,3,1,5,3,5,1,5,1,1,4,5,5,1,5,1,1,1,5,4,1,5,3,1,4,1,4,2,5,1,5,5,Ciencias Sociales,Relaciones internacionales y cs politica,3,M,1998/12/20,Argentina,Argentina,Buenos Aires,San Isidro
4,3,3,3,4,3,4,3,3,4,5,1,5,1,4,5,4,4,5,3,2,3,4,4,3,4,2,3,4,4,3,2,5,3,2,4,3,3,3,3,2,3,5,3,4,1,3,2,5,4,Negocios,Marketing,3,F,2001/04/05,Argentina,Argentina,Tigre,Buenos aires
3,1,3,2,3,1,4,3,3,2,4,2,4,2,2,2,4,4,4,2,3,3,3,4,2,3,2,4,3,4,4,2,4,3,4,1,5,1,4,5,2,4,4,2,3,2,3,2,2,3,STEM,Ingeniería industrial,4,F,2005/06/13,Argentina,Argentina,Buenos Aires,Buenos Aires
2,2,4,3,3,2,1,5,2,5,3,4,5,3,2,2,1,1,2,1,1,4,1,4,1,3,1,4,3,4,3,1,5,2,4,1,4,2,4,5,5,3,3,3,3,3,4,3,3,3,Negocios,Negocios digitales,4,M,1998/06/24,Argentina,Argentina,Buenos Aires,CABA
3,4,4,3,5,4,3,5,3,3,2,5,4,3,3,3,3,4,3,3,3,4,2,4,3,3,3,3,3,4,4,2,4,2,4,3,5,4,5,4,3,5,4,3,3,1,5,2,4,4,Negocios,Licenciatura en Publicidad,5,M,1994/06/27,Argentina,Argentina,Buenos Aires,Tigre
2,4,2,4,3,2,2,5,2,5,2,3,4,3,1,2,1,1,1,3,4,4,3,3,1,4,1,4,1,4,4,2,4,2,2,4,4,3,3,4,3,4,3,3,4,3,4,4,4,3,STEM,Ingeniería agronómica,4,M,2004/07/25,Argentina,Argentina,Buenos Aires,Pehuajó
4,1,4,3,3,1,3,1,5,3,3,2,5,3,2,1,2,2,2,1,2,3,4,3,3,4,2,3,2,5,5,1,5,5,2,2,4,5,5,3,3,1,5,1,4,1,5,3,5,5,Artes,Actuación,5,M,2002/08/20,Argentina,Argentina,Buenos Aires,Vicente Lopez
4,2,4,2,3,3,3,2,3,2,3,3,4,3,2,2,2,2,2,2,1,5,2,5,1,3,1,5,5,4,1,5,4,3,1,5,4,3,4,4,4,2,4,4,3,3,4,4,4,4,Negocios,Administracion de empresas,4,M,2003/11/13,Argentina,Argentina,Buenos Aires,Buenos Aires
3,1,5,3,4,2,3,3,5,2,3,2,5,3,2,3,5,4,3,2,2,3,4,3,4,3,2,4,3,3,3,4,3,3,4,3,3,3,4,3,4,2,4,3,4,3,3,3,4,4,Negocios,Negocios digitales,4,M,2003/12/02,Argentina,Argentina,Buenos aires,Caba
3,2,5,2,3,1,5,2,5,1,3,3,5,4,1,3,2,1,3,1,1,5,2,4,1,5,2,5,4,4,4,3,4,2,5,3,3,1,4,3,5,2,5,1,4,1,4,3,4,4,Ciencias Sociales,Comunicación Social,4,M,1997/04/25,Argentina,Argentina,Buenos Aires,San Isidro
3,3,4,3,4,1,4,1,5,3,2,5,3,2,1,4,3,1,4,1,3,3,2,2,2,4,2,2,1,4,4,5,5,4,2,2,4,3,3,4,4,2,5,1,4,1,5,4,4,5,Otro,Lic en gastronomia,2,M,1998/03/17,Argentina,Argentina,Caba,Caba
5,1,5,2,5,1,5,2,2,1,2,5,3,4,3,3,2,2,3,1,2,5,3,5,1,5,1,5,5,5,5,5,3,3,3,5,3,3,4,5,3,3,5,3,4,2,4,3,4,4,Ciencias Sociales,comunicación social,5,F,1999/04/11,argentina,Argentina,buenos aires,tigre
3,1,5,3,4,1,3,3,2,3,5,1,4,1,3,1,3,2,1,3,1,5,2,5,1,5,1,5,5,5,3,2,5,2,3,2,4,2,4,4,3,3,3,2,3,3,4,1,4,5,Negocios,Administracion de empresas,4,F,2004/04/30,Argentina,Argentina,Buenos Aires,Buenos Aires
2,3,3,4,3,3,3,4,2,3,1,4,3,4,3,4,2,1,3,2,3,3,2,3,3,4,3,3,2,4,5,2,5,1,4,1,5,3,4,4,4,2,4,2,3,2,4,3,4,4,Negocios,Negocios,3,M,1976/08/03,Argentina,Argentina,Buenos Aires,Buenos Aires
3,1,3,3,5,2,3,4,3,5,3,4,4,2,1,1,3,3,5,2,1,5,2,5,1,4,1,3,5,3,3,3,5,2,2,1,5,3,5,3,2,3,5,3,3,5,5,2,5,5,Negocios,negocios digitales,3,F,2004/04/16,Argentina,Argentina,Neuquen,Neuquen
1,3,2,4,1,3,1,5,2,5,4,1,4,2,4,4,4,4,4,3,3,3,1,2,2,1,2,2,2,1,1,5,3,5,1,5,3,5,1,2,3,1,3,1,4,3,5,5,5,3,STEM,Ingeniería Civil,2,M,1999/03/10,Argentina,Argentina,Buenos Aires,San Isidro
1,4,1,4,3,3,2,5,3,3,2,4,3,2,2,1,4,4,1,2,1,4,1,5,1,4,1,3,5,3,2,5,3,2,4,3,5,3,3,3,4,2,3,3,4,1,4,3,5,3,Ciencias Sociales,Psicología,4,M,1995/06/05,Argentina,Argentina,Buenos Aires,Capital Federal
3,4,4,4,3,4,4,3,4,3,2,5,3,4,3,2,2,1,2,2,2,3,2,3,1,4,2,4,3,5,3,2,3,3,1,2,3,4,2,5,4,2,5,2,4,1,4,4,4,5,Artes,Artes de la escritura,4,M,1998/09/16,Argentina,Argentina,Buenos Aires,San Isidro
3,2,3,4,4,2,4,4,2,2,1,4,4,3,3,2,1,2,2,2,1,5,1,4,1,4,1,4,4,4,3,2,3,2,4,2,4,2,4,3,4,2,3,2,3,2,4,2,3,3,Ciencias Sociales,Economía,3,M,2000/05/21,Argentina,Argentina,Buenos Aires,CABA
1,5,3,5,1,4,2,5,1,4,4,4,4,2,3,5,2,1,1,4,3,3,1,3,3,3,3,2,4,4,3,2,4,2,4,1,5,3,4,3,1,3,3,1,1,5,1,1,5,1,Ciencias Sociales,Economía,2,M,1976/06/24,Argentina,Argentina,Buenos Aires,Bahia Blanca
5,5,5,1,5,1,5,1,5,1,2,4,4,5,3,2,1,1,3,1,4,4,3,3,3,3,3,3,3,4,4,5,4,3,3,3,4,3,1,3,3,1,4,1,4,1,5,3,4,4,Ninguna,Ninguna,3,M,1975/09/29,Argentina,Argentina,Caba,Caba
3,5,3,4,2,2,2,4,2,5,4,4,5,4,3,4,4,4,4,2,1,5,1,5,1,4,1,4,4,5,4,1,5,1,4,1,5,1,4,4,2,4,2,3,3,4,4,2,4,4,Negocios,Adm de Empresas,4,F,1993/06/24,Argentina,Argentina,Buenos Aires,Buenos Aires
3,2,5,3,4,1,4,3,3,3,2,4,4,2,2,2,3,3,3,2,1,4,2,5,1,4,1,5,5,5,4,2,4,1,3,2,4,3,4,4,5,2,4,2,5,1,5,3,5,4,Otro,Comunicación de Moda,3,F,2002/11/13,Argentina,Argentina,Buenos Aires,CABA
3,4,3,3,4,5,1,5,3,3,5,3,5,1,4,5,5,4,5,4,1,1,3,5,1,4,1,5,5,5,4,1,4,1,3,1,5,3,4,5,4,4,5,4,4,2,5,4,5,4,Negocios,Publicidad,3,F,1969/05/22,Argentina,Argentina,Bs as,Capital
3,1,4,1,5,1,4,2,5,2,2,4,4,3,1,2,2,2,1,1,1,5,1,5,1,5,1,5,4,5,3,1,5,1,3,3,4,4,4,4,4,2,3,1,4,3,5,3,5,3,Ciencias Sociales,Licenciatura en Economía,4,M,1999/09/22,Argentina,Argentina,CABA,CABA
2,4,4,3,3,3,3,5,2,4,2,5,4,3,2,4,2,2,3,3,2,5,2,5,2,4,2,4,5,5,4,4,5,2,5,2,5,2,2,5,5,1,4,1,4,1,5,4,5,4,Negocios,Negocios Digitales,3,M,2000/08/23,Argentina,Argentina,Buenos Aires,San Isidro
2,5,5,5,3,3,3,4,4,5,3,4,2,3,2,2,2,2,2,2,3,3,4,3,3,3,3,4,3,5,3,3,3,4,2,5,4,3,1,3,5,3,2,2,4,3,5,5,5,5,Ninguna,Ninguna,4,M,2001/11/01,Argentina,Argentina,Buenos aires,Avellaneda
3,4,4,4,4,2,2,4,2,4,2,5,5,2,3,2,3,3,4,2,1,5,2,5,1,4,1,4,5,5,2,5,2,3,4,5,3,2,3,3,2,2,3,1,2,1,4,2,3,3,Negocios,Negocios,3,F,2000/02/16,España,Spain,Madrid,Madrid
2,2,4,2,3,2,2,4,4,3,4,4,3,5,3,2,1,2,4,1,1,5,4,5,2,4,1,5,4,4,2,4,2,3,2,3,4,4,2,4,5,1,3,2,4,3,5,4,4,5,Humanidades,Filosofía,4,M,2001/06/01,Argentina,Argentina,Buenos Aires,San Isidro
1,3,1,2,3,1,1,1,4,3,1,1,5,1,4,3,5,5,3,4,1,5,2,5,1,5,1,3,5,3,1,3,5,3,1,1,5,3,4,5,5,1,5,1,3,1,3,5,4,4,Negocios,Marketing Digital,3,F,1997/12/12,Argentina,Argentina,Buenos Aires,Ciudad Autónoma de Buenos Aires
2,3,4,5,3,1,4,5,4,3,1,5,5,3,1,2,1,1,1,2,1,5,1,5,1,4,1,5,4,5,3,3,5,1,4,2,5,2,4,5,3,1,4,1,4,1,5,3,3,4,STEM,Ingeniería Quimica,4,F,1998/08/21,Argentina,Argentina,Buenos Aires,San Isidro
5,2,3,4,5,1,3,3,3,2,1,5,3,5,1,1,1,1,1,1,3,3,1,5,3,1,1,3,3,4,3,1,3,1,3,1,5,1,5,5,5,2,3,1,5,1,5,3,3,4,Ciencias Sociales,Abogacía,4,F,1968/03/18,Argentina,Argentina,Buenos Aires,Caba
4,2,4,2,5,1,4,2,3,3,4,3,4,4,3,3,3,3,4,2,1,4,1,4,1,4,1,5,5,5,4,2,4,2,3,4,4,3,4,4,3,5,1,5,3,5,5,3,5,4,Negocios,Management,3,F,1999/05/21,Espanya,Spain,Barcelona,Barcelona
3,2,4,3,4,1,5,3,5,3,3,2,4,3,4,4,3,3,2,3,1,5,2,5,2,5,1,5,5,4,3,2,4,4,3,4,5,3,2,3,4,3,3,1,4,2,3,3,5,5,Ninguna,-,2,M,2003/02/21,Argentina,Argentina,Buenos Aires,San Isidro
3,1,3,2,5,1,2,2,5,2,5,2,5,1,3,3,4,4,3,4,2,5,2,5,1,4,1,4,4,4,3,4,3,3,2,4,3,4,3,4,4,2,5,1,3,2,2,3,5,4,Ciencias Sociales,psicopedagogía,3,F,1998/11/04,argentina,Argentina,buenos aires,san isidro
4,1,5,1,5,1,4,4,5,1,1,4,2,4,2,2,1,1,2,1,1,4,1,5,1,4,1,5,4,4,2,4,3,2,2,2,4,2,4,3,4,2,3,3,3,3,4,2,3,2,Ciencias Sociales,Treball Social,4,F,2002/06/01,Espanya,Spain,Barcelona,Barcelona
4,2,3,2,4,2,4,2,4,3,5,2,4,2,3,4,5,5,4,3,3,3,2,4,3,5,2,3,4,5,1,2,2,2,4,2,5,1,4,4,3,2,5,3,4,2,2,1,3,2,Negocios,Administración de empresas y Negocios digitales,3,F,2000/05/04,Argentina,Argentina,CABA,Recoleta
3,4,4,2,5,1,2,3,5,2,2,4,4,1,3,2,3,2,1,2,1,5,2,5,1,2,1,5,5,4,3,3,4,3,3,3,4,4,3,4,4,4,4,1,3,2,3,1,3,4,STEM,Ingeniería Electrónica,4,M,1993/09/10,Argentina,Argentina,Buenos Aires,CABA
1,3,1,2,4,5,3,4,2,4,5,4,4,3,4,4,5,5,5,5,5,1,2,2,4,3,4,4,3,5,4,4,5,5,1,3,5,2,1,1,5,1,5,3,2,1,3,4,5,2,Negocios,Administration,1,M,2000/06/24,Argentina,Argentina,CABA,CABA
4,2,4,3,4,3,5,2,4,2,5,2,5,1,4,2,3,2,2,2,1,5,1,5,1,4,1,5,4,4,3,2,3,2,3,2,4,1,5,5,4,1,5,1,2,2,3,3,5,4,STEM,Licenciatura en ciencias físicas,4,F,1996/12/22,Argentina,Argentina,Buenos Aires,San Isidro
4,1,4,2,4,2,4,3,3,4,4,4,4,2,4,4,4,4,5,3,1,5,2,5,1,5,2,4,5,5,3,4,3,4,1,5,3,3,3,2,4,2,5,1,3,2,4,4,5,5,Negocios,negocios digitales,4,M,2000/09/21,argentina,Argentina,bs as,caba
4,1,5,2,4,1,4,3,3,2,3,3,5,1,2,4,3,2,2,4,1,3,1,1,3,4,2,5,4,1,3,5,4,2,5,3,5,1,4,5,4,2,1,3,4,2,4,3,1,4,Ciencias Sociales,Economia aziendale e management,5,M,1997/03/06,Italia,Italy,Catanzaro,Catanzaro
3,2,2,3,2,3,3,4,3,1,2,4,4,4,3,3,3,3,3,3,1,5,1,5,1,4,1,4,4,4,4,1,5,3,2,1,1,4,1,1,3,3,3,3,3,3,4,2,3,3,STEM,Arquitectura,3,F,1972/12/20,Argentina,Argentina,Mendoza,Capital
4,1,4,1,5,1,4,2,4,3,2,2,5,5,1,1,2,1,4,1,3,5,4,5,3,3,1,5,5,5,3,4,5,1,2,4,5,3,4,5,5,1,5,1,5,1,5,4,5,5,STEM,computacion,4,M,1996/08/20,argentina,Argentina,beunos aires,buenos aires
3,4,4,1,3,3,5,4,1,3,3,3,5,3,4,3,2,1,1,1,1,3,1,5,1,5,1,5,5,5,3,3,4,3,4,3,3,1,5,4,3,3,3,3,2,3,5,3,4,3,Ciencias de la Salud,Farmacia,4,F,1985/04/16,russia,Russia,russia,russia
2,3,2,4,3,2,4,5,2,5,5,1,5,1,5,5,5,5,5,5,1,5,2,5,1,5,1,5,5,5,4,1,5,1,4,1,5,3,5,5,3,3,4,1,3,2,5,4,5,5,Artes,Lingue e letterature straniere,3,F,2002/10/07,Italia,Italy,Catanzaro,Catanzaro
3,3,4,2,4,1,4,3,3,3,3,2,4,3,2,2,3,1,2,1,1,4,2,4,1,2,1,4,4,4,5,1,5,1,4,1,5,1,5,5,5,4,1,3,3,3,4,2,5,2,STEM,Ingeniero Agrónomo,5,M,1993/11/03,Argentina,Argentina,Buenos Aires,San Isidro
3,3,2,3,4,2,3,2,4,5,4,2,5,2,2,3,2,2,4,2,2,4,4,3,2,4,2,2,3,3,3,5,2,4,1,5,3,5,5,4,5,2,5,2,3,1,4,3,5,5,Ninguna,Ninguna,4,M,1991/05/08,Argentina,Argentina,Buenos Aires,Vicente López
3,1,2,1,5,1,3,3,3,3,5,2,4,2,4,1,5,5,1,2,2,5,3,5,2,4,2,3,4,4,1,5,3,4,1,5,4,5,1,5,4,2,2,3,2,4,3,3,5,3,Ciencias Sociales,Relaciones internacionales,3,M,1998/09/30,Argentina,Argentina,Buenos Aires,Vicente López
3,2,5,4,4,3,5,3,3,2,5,3,5,4,2,4,2,2,4,1,2,5,1,5,1,5,1,4,5,4,4,1,4,4,4,2,5,1,4,4,5,1,5,1,4,1,5,5,5,5,Ciencias Sociales,Sociología,3,F,1998/04/27,Argentina,Argentina,Buenos Aires,Ciudad de Buenos Aires
3,4,4,2,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,4,5,5,1,5,5,5,5,5,5,5,5,4,5,1,3,4,4,4,4,4,4,3,5,5,5,4,Ninguna,Nessuno,3,F,1966/02/24,Italia,Italy,Palermo,Palermo
4,3,4,3,4,2,4,4,4,2,2,4,4,2,3,2,2,2,2,3,2,4,1,4,2,4,2,4,4,5,3,2,4,2,3,2,4,2,4,4,3,2,2,2,4,2,4,3,4,4,Ciencias de la Salud,Isef,4,M,1964/01/22,Italia,Italy,Messina,Massina
3,1,4,3,5,2,2,1,5,2,3,1,5,4,3,3,2,2,4,2,2,4,4,4,2,1,1,5,2,5,5,1,5,1,3,1,5,3,5,5,4,1,4,1,3,2,4,2,4,5,STEM,Arquitectura,4,M,1996/04/16,Argentina,Argentina,CABA,CABA
2,2,4,3,4,2,3,5,5,3,2,3,4,4,2,3,2,2,2,2,1,4,2,4,2,4,2,4,4,4,3,3,4,2,4,4,4,2,3,4,4,2,4,2,4,2,4,3,4,4,Negocios,Negocios digitales,4,F,1998/10/24,Argentina,Argentina,Santa Fe,Rosario
4,4,4,4,4,3,2,5,1,4,3,4,5,2,3,5,3,3,4,1,2,4,3,3,1,5,1,4,4,4,3,2,4,2,3,3,4,1,4,4,2,2,4,3,4,2,4,2,3,4,STEM,arquitectura,3,F,1996/06/16,ARGENTINA,Argentina,BUENOS AIRES,SAN ISIDRO
2,3,2,4,2,4,1,5,1,4,4,3,4,2,2,4,4,4,2,2,1,4,2,4,1,5,1,3,3,4,4,2,4,2,3,2,4,3,3,5,5,1,4,1,4,1,4,5,5,4,Artes,Música,3,M,1999/10/23,Argentina,Argentina,Buenos Aires,San Isidro
2,2,3,3,4,2,4,2,3,3,5,2,5,1,4,5,4,4,4,2,1,4,4,5,1,3,1,4,4,3,2,5,2,4,1,5,4,5,2,4,2,2,4,2,1,3,2,2,5,1,STEM,Fisica,3,F,1996/12/04,Argentina,Argentina,Rio Negro,Bariloche
3,4,4,4,4,3,3,3,4,3,3,2,3,2,3,3,4,4,4,3,3,4,2,4,2,4,2,3,4,4,3,3,4,3,2,3,4,2,4,5,5,1,4,1,4,1,5,3,4,4,Ciencias Sociales,Psicol social,4,F,1969/10/24,Argentina,Argentina,Cap fed,Cap fed
1,3,3,3,3,4,3,3,2,3,1,1,4,5,1,1,1,1,1,1,1,5,1,4,1,3,1,5,4,4,3,3,4,1,4,3,4,2,4,4,4,1,4,2,4,3,5,3,5,4,STEM,Ingenieria agronomica,4,F,1966/08/23,Argentina,Argentina,Caba,Buenos aires
3,1,1,1,5,4,3,5,5,1,1,3,3,5,1,1,1,1,1,5,1,5,1,5,1,3,2,3,5,5,4,1,4,1,5,1,5,1,3,5,5,1,3,1,3,3,5,5,5,3,Ninguna,Nessuno,2,F,1967/06/19,Italia,Italy,Catanzaro,Catanzaro
2,2,4,2,4,2,4,3,4,2,2,4,4,4,2,2,3,3,3,2,2,4,3,4,3,4,3,3,4,4,4,2,4,2,2,3,4,2,4,4,3,3,4,4,3,2,4,2,4,3,STEM,Arquitectura,4,M,1998/12/02,Argentina,Argentina,Buenos Aires,San isidro
4,3,4,1,4,2,3,1,1,1,1,3,3,5,2,1,3,3,4,1,4,4,3,4,1,1,3,4,4,4,3,3,5,2,5,1,3,1,5,5,4,4,5,4,4,1,4,1,5,5,Educación,Docente- maestro especializado en educación primaria,5,F,1972/01/19,Argentina,Argentina,Buenos Aires,Caba
1,3,3,4,3,2,3,5,3,2,1,5,5,4,1,2,1,1,2,2,2,4,2,5,4,1,1,4,3,4,3,2,4,1,3,2,5,2,5,5,4,4,4,3,4,4,4,1,4,3,Negocios,Contador público,1,M,1960/01/12,ARGENTINA,Argentina,CAPITAL FEDERAL,CAPITAL FEDERAL
4,1,4,3,4,1,5,2,4,2,3,3,5,1,1,2,3,1,1,2,1,5,2,5,2,5,2,4,4,5,4,1,5,3,3,2,5,1,5,5,4,4,5,3,5,2,5,2,4,4,Negocios,Publicitat i Relacions Públiques,3,F,2000/12/14,Catalunya,Spain,Barcelona,Barcelona
5,2,5,3,4,2,5,2,3,1,5,2,3,3,2,4,2,2,4,2,2,4,3,4,2,5,1,5,4,4,5,5,2,5,2,5,1,2,2,5,4,1,3,1,5,3,5,3,2,5,Negocios,negocios,4,M,2000/07/21,Argentina,Argentina,CABA,CABA
2,1,3,3,4,1,3,3,3,4,2,4,2,4,2,2,2,2,3,2,3,4,2,4,2,4,2,3,3,4,3,3,5,2,1,4,3,5,1,4,4,1,4,1,4,2,5,4,5,4,Ciencias Sociales,Ciencia Política y Gobierno,3,M,2002/09/12,Argentina,Argentina,Buenos Aires,CABA
3,1,5,2,5,1,5,3,5,1,1,4,5,3,2,1,1,2,1,1,2,5,1,3,2,1,1,5,2,5,5,1,5,2,2,1,4,4,3,5,5,1,5,3,4,2,5,4,4,3,Negocios,Negocios Digitales,4,M,2004/05/19,Argentina,Argentina,Buenos Aires,CABA
4,3,5,4,5,1,5,5,3,1,3,3,4,3,1,2,1,1,1,1,1,5,1,5,1,2,1,5,5,5,4,2,5,1,5,1,5,1,4,5,4,1,5,1,4,1,3,1,5,4,STEM,Licenciatura en Computacion Cientifica,5,F,1963/02/01,Argentina,Argentina,Buenos Aires,Campana
3,2,4,2,4,2,5,3,3,2,3,4,4,3,2,3,2,2,2,1,2,5,2,5,2,3,1,4,4,3,3,2,3,2,3,2,4,3,4,4,4,2,3,3,3,2,3,2,4,3,Educación,Educación,4,F,1995/11/24,Croatia,Croatia,Zagrebačka županija,Samobor
2,2,3,3,4,2,3,3,3,2,3,3,3,2,1,2,4,4,4,2,2,4,4,4,2,2,1,5,5,4,4,2,5,2,1,1,5,5,4,3,3,1,5,1,3,1,5,3,5,5,Ciencias Sociales,Economia,2,M,2002/04/05,Argentina,Argentina,Entre Rios,Gualeguay
2,3,3,3,2,3,2,4,4,4,3,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,2,4,4,2,2,2,4,4,1,5,5,3,3,4,2,2,5,1,5,1,4,2,4,5,Negocios,Negocios,4,M,1991/08/16,Croatia,Croatia,Primorsko goranska,Rijeka
3,4,4,2,3,3,2,4,1,5,2,4,4,2,2,2,2,2,1,2,2,4,1,4,2,5,1,3,4,4,1,1,4,1,4,2,5,2,4,5,4,2,5,2,3,1,4,2,4,4,Educación,Docente,4,F,1964/01/24,Argentina,Argentina,Buenos Aires,Capital Federal
4,4,4,2,4,3,4,5,4,2,5,1,5,1,4,4,5,5,5,4,5,5,1,4,4,3,1,4,3,5,2,4,4,4,1,3,4,4,2,2,4,2,5,1,2,1,3,2,4,2,Ciencias Sociales,Psicología,3,F,1986/08/07,Argentina,Argentina,Buenos Aires,Quilmes
4,1,5,2,4,1,4,4,2,1,2,4,2,5,1,1,1,1,1,1,1,5,1,5,1,3,1,4,4,5,4,1,4,2,4,2,5,1,4,4,5,5,3,4,3,3,3,2,2,2,Ciencias de la Salud,Veterinaria,5,F,1968/07/04,España,Spain,Ceuta,Ceuta
3,1,3,2,4,1,2,1,5,1,4,1,2,3,2,4,3,3,4,2,2,3,2,3,3,3,2,4,3,3,5,2,2,3,4,2,4,1,5,5,4,3,4,3,5,4,4,2,3,5,Ciencias de la Salud,medicina,5,M,1951/01/24,argentina,Argentina,buenos aires,buenos aires
3,1,5,1,3,2,5,2,5,2,4,1,5,3,2,3,2,3,2,2,2,5,1,4,1,4,1,4,4,5,3,4,4,2,4,2,4,2,4,5,5,1,4,1,4,2,4,4,5,4,Negocios,Labor Relations,4,M,1998/08/26,Argentina,Argentina,Buenos Aires,Martínez
1,3,3,2,3,4,4,2,4,3,2,4,3,3,4,2,2,2,2,2,2,4,3,4,3,4,2,3,3,3,3,2,4,2,4,4,5,2,5,5,5,2,4,3,4,2,5,3,3,2,Negocios,Finance,4,M,2002/11/24,Argentina,Argentina,Buenos Aires,Capital Federal
3,4,4,3,3,3,2,5,2,3,4,2,3,4,3,3,3,3,3,2,1,5,3,5,1,4,1,5,5,5,3,1,4,1,5,2,5,1,4,5,3,3,3,3,3,3,3,1,3,3,Ciencias de la Salud,Instrumentadora quirurgica,5,F,1966/03/20,Argentina,Argentina,Buenos Aires,Caba
4,3,3,3,2,2,1,3,5,2,4,3,4,2,4,2,4,4,5,3,2,4,1,4,1,2,1,3,4,5,4,2,3,3,4,2,4,2,5,4,5,2,5,2,5,1,3,3,5,5,Ciencias Sociales,Sociología,3,M,1966/11/08,Argentina,Argentina,Buenos Aires,Ciudad autónoma de buenos aires
3,4,3,2,4,1,2,3,3,3,5,1,5,2,3,2,4,4,4,4,2,4,2,5,1,5,1,4,3,5,4,4,3,2,4,4,3,2,3,5,4,4,5,3,4,2,4,3,2,4,Negocios,Licenciatura en Comercialización (Marketing),3,F,1992/03/23,Argentina,Argentina,Buenos Aires,Buenos Aires
2,5,3,4,1,3,3,4,2,4,4,1,5,1,5,5,5,5,4,5,3,3,3,3,4,4,4,3,3,3,1,1,3,2,2,1,5,4,2,4,2,4,3,5,3,4,3,1,2,3,Ciencias de la Salud,Nutrición,3,F,1963/01/16,Argentina,Argentina,Buenos Aires,Capital Federal
4,2,4,3,4,2,4,4,2,3,2,3,4,3,2,3,3,3,2,1,1,5,2,5,1,3,1,1,5,4,3,4,3,1,1,4,4,3,4,4,4,1,4,2,3,1,5,3,4,3,Ciencias Sociales,Lic en Terapia Ocupacional,4,F,1997/05/30,Argentina,Argentina,Buenos Aires,San Isidro
3,1,4,3,5,2,4,2,4,1,3,4,4,4,3,3,2,3,2,1,2,4,2,4,1,5,1,4,4,5,3,2,3,2,3,2,4,2,4,5,4,2,5,1,4,1,3,3,5,5,Negocios,Negocios Digitales,5,F,2001/04/20,Argentina,Argentina,Buenos Aires,San Isidro
3,3,4,1,5,1,5,3,5,1,5,5,2,4,1,4,1,1,3,1,1,5,3,5,1,4,1,5,4,5,5,5,4,5,5,1,5,1,5,5,4,1,5,1,5,1,5,4,3,5,STEM,Arquitectura,4,F,1969/01/25,Argentina,Argentina,Buenos Aires,CABA
1,4,1,4,2,2,1,4,1,5,4,2,4,1,2,2,3,3,2,3,1,4,1,5,1,5,1,3,5,5,3,2,5,2,3,1,3,2,3,4,4,1,5,1,3,2,4,3,5,4,STEM,Bioquímica,3,F,1996/01/24,Argentina,Argentina,Buenos Aires,Caseros
4,1,5,1,5,1,5,3,3,1,5,3,5,4,3,3,3,4,4,3,2,5,4,5,2,5,1,5,1,4,3,4,5,2,4,3,5,3,4,4,5,3,4,1,5,1,4,4,5,5,Negocios,Negocios Digitales,4,M,2001/01/24,Argentina,Argentina,Buenos Aires,Buenos Aires
1,5,2,4,2,4,1,5,2,5,1,5,5,5,3,4,3,2,2,1,2,3,1,3,2,3,2,4,4,4,4,1,5,1,3,2,5,3,5,4,4,2,4,2,3,3,4,4,5,2,Negocios,Licenciatura en Administración,4,M,1995/05/12,Argentina,Argentina,Capital Federal,Capital Federal
2,1,5,3,5,2,4,3,4,2,2,3,5,5,1,1,1,2,1,1,1,5,1,5,1,5,1,5,5,5,4,3,5,1,4,3,4,2,5,5,5,1,4,1,5,1,5,4,4,4,Ciencias Sociales,Ciencias del Comportamiento,4,M,1998/10/13,ARGENTINA,Argentina,BUENOS AIRES,SAN ISIDRO
